type_of_graph,number_of_nodes,number_of_edges,time_Dijkstra_SP,nodesVisited_Dijkstra,time_A*,nodesVisited_A*
random,10000,20000,0.337,527,0.107,189
grid,30000,117940,15.788,29968,10.981,21087
random,20000,40000,0.012,2,0.017,2
grid,60000,237880,42.503,59999,0.825,1389
random,60000,120000,0.05,1,0.052,1
grid,80000,317840,58.415,79924,53.459,74538
random,10000,20000,0.007,1,0.006,1
grid,30000,117940,15.991,29982,13.314,27452
random,20000,40000,10.867,14221,3.511,5258
grid,60000,237880,40.803,59934,17.59,27059
random,60000,120000,48.512,47826,40.457,47826
grid,80000,317840,72.639,79921,46.946,49439
random,10000,20000,0.632,908,0.063,124
grid,30000,117940,19.419,29979,9.431,15743
random,20000,40000,0.012,2,0.013,2
grid,60000,237880,46.377,59638,19.751,30480
random,60000,120000,44.668,41486,19.637,18589
grid,80000,317840,59.154,79346,51.291,67118
random,10000,20000,4.467,6761,3.119,4384
grid,30000,117940,16.623,29982,1.09,2113
random,20000,40000,0.012,2,0.013,2
grid,60000,237880,41.036,59775,25.672,40650
random,60000,120000,22.871,21308,1.837,2343
grid,80000,317840,61.338,79589,36.557,51927
random,10000,20000,3.353,5122,2.875,4278
grid,30000,117940,15.745,29917,9.211,18282
random,20000,40000,8.249,11372,2.194,2672
grid,60000,237880,44.53,59947,31.068,48183
random,60000,120000,34.116,31342,18.638,19246
grid,80000,317840,65.152,79873,22.298,29696
random,10000,20000,2.784,3800,1.752,2428
grid,30000,117940,17.503,29884,14.449,25904
random,20000,40000,12.263,16048,11.517,16048
grid,60000,237880,46.855,59685,37.378,51569
random,60000,120000,50.948,42360,8.821,9853
grid,80000,317840,58.527,79995,10.302,13314
random,10000,20000,5.304,7915,5.068,7915
grid,30000,117940,17.82,29993,7.219,11334
random,20000,40000,11.723,15906,10.962,15906
grid,60000,237880,46.212,59929,11.513,15091
random,60000,120000,34.946,30787,11.328,8753
grid,80000,317840,66.221,79806,28.783,34497
random,10000,20000,3.258,4378,2.382,3164
grid,30000,117940,18.742,30000,0.728,1371
random,20000,40000,12.215,14613,5.515,8449
grid,60000,237880,50.713,59604,35.983,49748
random,60000,120000,25.686,22189,5.026,5225
grid,80000,317840,65.947,79673,42.615,49514
random,10000,20000,4.812,7475,2.972,4134
grid,30000,117940,16.699,29958,9.431,15497
random,20000,40000,11.598,16017,10.432,16017
grid,60000,237880,45.745,59789,8.295,13178
random,60000,120000,42.549,43955,31.711,35752
grid,80000,317840,61.305,79998,5.337,7123
random,10000,20000,5.199,7984,4.825,7984
grid,30000,117940,20.877,29963,16.785,25770
random,20000,40000,5.728,6439,2.632,3393
grid,60000,237880,58.094,59920,22.053,29790
random,60000,120000,0.062,1,0.054,1
grid,80000,317840,59.304,79571,39.103,54524
random,10000,20000,4.008,5545,0.982,1587
grid,30000,117940,17.626,29978,3.268,5181
random,20000,40000,13.488,16015,10.748,16015
grid,60000,237880,45.356,59889,33.452,48122
random,60000,120000,47.97,47704,46.35,47704
grid,80000,317840,65.701,79954,51.146,62255
random,10000,20000,5.78,8072,4.536,8072
grid,30000,117940,18.633,29965,10.581,17653
random,20000,40000,13.649,15933,12.229,15933
grid,60000,237880,45.247,59928,15.537,18689
random,60000,120000,45.432,39067,48.525,39066
grid,80000,317840,62.276,79717,41.329,53738
random,10000,20000,5.329,7964,5.766,7964
grid,30000,117940,16.831,29995,4.535,8157
random,20000,40000,0.013,1,0.014,1
grid,60000,237880,46.85,59924,28.111,39702
random,60000,120000,0.05,1,0.057,1
grid,80000,317840,64.292,79644,43.291,55227
random,10000,20000,4.937,6842,2.018,3156
grid,30000,117940,22.371,29955,6.739,11501
random,20000,40000,12.707,15952,10.314,15952
grid,60000,237880,48.272,59889,5.679,7773
random,60000,120000,39.444,33592,13.021,12101
grid,80000,317840,63.554,79994,18.61,20180
