type_of_graph,number_of_nodes,number_of_edges,time_Dijkstra_SP,nodesVisited_Dijkstra,time_A*,nodesVisited_A*
random,10000,20000,1.431,2079,2.731,3690
grid,30000,58970,0.012,8,0.009,7
random,20000,40000,13.149,12827,3.378,4765
grid,60000,118940,0.039,55,0.031,40
random,60000,120000,51.483,41327,6.146,6930
grid,80000,158920,0.043,60,0.035,57
random,10000,20000,5.785,7923,4.679,7923
grid,30000,58970,0.019,21,0.014,16
random,20000,40000,12.144,15826,10.623,15826
grid,60000,118940,0.002,1,0,1
random,60000,120000,33.078,29017,9.186,10186
grid,80000,158920,0.038,44,0.016,8
random,10000,20000,0.022,6,0.012,6
grid,30000,58970,0.019,30,0.005,3
random,20000,40000,10.785,13906,2.059,3263
grid,60000,118940,0.023,19,0.021,6
random,60000,120000,31.292,29279,22.339,23848
grid,80000,158920,0.032,32,0.009,7
random,10000,20000,0.008,1,0.006,1
grid,30000,58970,0.022,8,0.005,4
random,20000,40000,11.148,14831,2.54,4652
grid,60000,118940,0.022,21,0.007,5
random,60000,120000,29.881,24360,9.072,9664
grid,80000,158920,0.032,31,0.009,7
random,10000,20000,0.752,1106,1.22,1849
grid,30000,58970,0.012,9,0.007,5
random,20000,40000,2.511,3335,2.444,3653
grid,60000,118940,0.02,15,0.012,9
random,60000,120000,0.041,7,0.063,7
grid,80000,158920,0.029,32,0.011,11
random,10000,20000,0.764,1122,1.038,1860
grid,30000,58970,0.013,11,0.007,5
random,20000,40000,9.502,12667,2.359,4157
grid,60000,118940,0.017,14,0.012,10
random,60000,120000,0.054,7,0.083,7
grid,80000,158920,0.03,27,0.002,2
random,10000,20000,4.721,6233,0.253,498
grid,30000,58970,0.018,22,0.009,7
random,20000,40000,11.319,14099,4.76,5815
grid,60000,118940,0.028,29,0.012,8
random,60000,120000,57.427,47682,50.095,47682
grid,80000,158920,0.046,69,0.026,35
random,10000,20000,3.064,4141,0.146,290
grid,30000,58970,0.02,27,0.007,4
random,20000,40000,7.746,9906,4.196,6647
grid,60000,118940,0.019,17,0.012,11
random,60000,120000,0.057,4,0.065,4
grid,80000,158920,0.046,69,0.025,36
random,10000,20000,2.923,3852,0.779,1224
grid,30000,58970,0.02,27,0.015,17
random,20000,40000,11.158,12923,4.457,6770
grid,60000,118940,0.021,17,0.009,6
random,60000,120000,47.667,43935,15.766,17658
grid,80000,158920,0.05,68,0.026,39
random,10000,20000,0.007,1,0.006,1
grid,30000,58970,0.017,19,0.006,3
random,20000,40000,11.828,15343,11.423,15343
grid,60000,118940,0.03,35,0.023,23
random,60000,120000,0.043,1,0.061,1
grid,80000,158920,0.045,67,0.026,35
random,10000,20000,0.428,586,0.191,315
grid,30000,58970,0.008,4,0.004,3
random,20000,40000,10.918,14650,5.04,7621
grid,60000,118940,0.026,35,0.012,11
random,60000,120000,42.052,39452,13.35,14343
grid,80000,158920,0.041,69,0.021,26
random,10000,20000,3.591,5062,2.671,5035
grid,30000,58970,0.017,20,0.01,11
random,20000,40000,1.917,2637,1.16,2227
grid,60000,118940,0.037,60,0.016,14
random,60000,120000,0.038,1,0.061,1
grid,80000,158920,0.044,69,0.022,28
random,10000,20000,5.241,7918,5.052,7918
grid,30000,58970,0.019,29,0.006,6
random,20000,40000,0.013,6,0.017,6
grid,60000,118940,0.029,40,0.014,14
random,60000,120000,0.05,3,0.064,3
grid,80000,158920,0.039,50,0.022,25
random,10000,20000,2.672,3669,1.303,2351
grid,30000,58970,0.017,23,0.005,4
random,20000,40000,0.012,1,0.011,1
grid,60000,118940,0.032,54,0.02,21
random,60000,120000,41.532,37991,29.664,33768
grid,80000,158920,0.035,49,0.022,27
random,10000,20000,0.074,98,0.016,20
grid,30000,58970,0.015,17,0.007,7
random,20000,40000,8.378,11796,1.344,2245
grid,60000,118940,0.021,22,0.017,17
random,60000,120000,46.129,47775,44.748,47775
grid,80000,158920,0.028,31,0.011,11
random,10000,20000,1.327,2004,1.16,1797
grid,30000,58970,0.014,12,0.004,2
random,20000,40000,3.791,4910,1.201,2201
grid,60000,118940,0.023,22,0.015,13
